test_id,total_operations,structure,hits,misses,false_positives,false_positive_rate,total_time_ms,ops_per_second,final_memory_mb
example_operations,16,bloom_filter,8,1,0,0.0,7.450615,0.0,0.010498046875
example_operations,16,hashset,8,1,0,0.0,0.124866,0.0,0.011474609375
example_operations,16,trie,8,1,0,0.0,0.099418,0.0,0.010498046875
test_bloom_only,16,bloom_filter,8,1,0,0.0,0.204636,78187.61117300963,0.0
test_final,9,bloom_filter,1,1,0,0.0,0.32111599999999996,28027.254948367572,0.0
test_final,9,hashset,1,1,0,0.0,0.036379,247395.4754116386,8.20159912109375e-05
test_final,9,trie,1,1,0,0.0,0.055674999999999995,161652.44723843737,0.0001964569091796875
test_new,9,bloom_filter,1,1,0,0.0,0.28689200000000004,31370.69001575505,0.0
test_new,9,hashset,1,1,0,0.0,0.06967100000000001,129178.56784027784,8.20159912109375e-05
test_new,9,trie,1,1,0,0.0,0.088838,101307.9988293298,0.0001964569091796875
test_refactored,16,bloom_filter,8,1,0,0.0,0.49165899999999996,32542.880329659383,0.0
test_refactored,16,hashset,8,1,0,0.0,0.129855,123214.35447229602,0.00018215179443359375
test_refactored,16,trie,8,1,0,0.0,0.11909399999999999,134347.65815238384,0.00032711029052734375
